x,y,r,g,b
0,0,254,254,254
1,0,254,254,254
2,0,254,254,254
3,0,254,254,254
4,0,254,254,254
5,0,254,254,254
6,0,254,254,254
7,0,254,254,254
8,0,254,254,254
9,0,254,254,254
10,0,1,1,1
11,0,1,1,1
12,0,1,1,1
13,0,1,1,1
14,0,254,254,254
15,0,254,254,254
16,0,1,1,1
17,0,1,1,1
18,0,1,1,1
19,0,1,1,1
20,0,1,1,1
21,0,1,1,1
22,0,1,1,1
23,0,1,1,1
24,0,254,254,254
25,0,254,254,254
26,0,254,254,254
27,0,254,254,254
28,0,254,254,254
29,0,254,254,254
30,0,254,254,254
31,0,254,254,254
0,1,254,254,254
1,1,254,254,254
2,1,254,254,254
3,1,254,254,254
4,1,254,254,254
5,1,254,254,254
6,1,254,254,254
7,1,254,254,254
8,1,254,254,254
9,1,254,254,254
10,1,1,1,1
11,1,1,1,1
12,1,1,1,1
13,1,1,1,1
14,1,254,254,254
15,1,254,254,254
16,1,1,1,1
17,1,1,1,1
18,1,1,1,1
19,1,1,1,1
20,1,1,1,1
21,1,1,1,1
22,1,1,1,1
23,1,1,1,1
24,1,254,254,254
25,1,254,254,254
26,1,254,254,254
27,1,254,254,254
28,1,254,254,254
29,1,254,254,254
30,1,254,254,254
31,1,254,254,254
0,2,254,254,254
1,2,254,254,254
2,2,254,254,254
3,2,254,254,254
4,2,254,254,254
5,2,254,254,254
6,2,254,254,254
7,2,254,254,254
8,2,1,1,1
9,2,1,1,1
10,2,254,254,254
11,2,254,254,254
12,2,254,254,254
13,2,254,254,254
14,2,1,1,1
15,2,1,1,1
16,2,254,254,254
17,2,254,254,254
18,2,254,254,254
19,2,254,254,254
20,2,254,254,254
21,2,254,254,254
22,2,254,254,254
23,2,254,254,254
24,2,1,1,1
25,2,1,1,1
26,2,254,254,254
27,2,254,254,254
28,2,254,254,254
29,2,254,254,254
30,2,254,254,254
31,2,254,254,254
0,3,254,254,254
1,3,254,254,254
2,3,254,254,254
3,3,254,254,254
4,3,254,254,254
5,3,254,254,254
6,3,254,254,254
7,3,254,254,254
8,3,1,1,1
9,3,1,1,1
10,3,254,254,254
11,3,254,254,254
12,3,254,254,254
13,3,254,254,254
14,3,1,1,1
15,3,1,1,1
16,3,254,254,254
17,3,254,254,254
18,3,254,254,254
19,3,254,254,254
20,3,254,254,254
21,3,254,254,254
22,3,254,254,254
23,3,254,254,254
24,3,1,1,1
25,3,1,1,1
26,3,254,254,254
27,3,254,254,254
28,3,254,254,254
29,3,254,254,254
30,3,254,254,254
31,3,254,254,254
0,4,254,254,254
1,4,254,254,254
2,4,254,254,254
3,4,254,254,254
4,4,254,254,254
5,4,254,254,254
6,4,1,1,1
7,4,1,1,1
8,4,254,254,254
9,4,254,254,254
10,4,254,254,254
11,4,254,254,254
12,4,254,254,254
13,4,254,254,254
14,4,254,254,254
15,4,254,254,254
16,4,254,254,254
17,4,254,254,254
18,4,254,254,254
19,4,254,254,254
20,4,254,254,254
21,4,254,254,254
22,4,254,254,254
23,4,254,254,254
24,4,254,254,254
25,4,254,254,254
26,4,1,1,1
27,4,1,1,1
28,4,254,254,254
29,4,254,254,254
30,4,254,254,254
31,4,254,254,254
0,5,254,254,254
1,5,254,254,254
2,5,254,254,254
3,5,254,254,254
4,5,254,254,254
5,5,254,254,254
6,5,1,1,1
7,5,1,1,1
8,5,254,254,254
9,5,254,254,254
10,5,254,254,254
11,5,254,254,254
12,5,254,254,254
13,5,254,254,254
14,5,254,254,254
15,5,254,254,254
16,5,254,254,254
17,5,254,254,254
18,5,254,254,254
19,5,254,254,254
20,5,254,254,254
21,5,254,254,254
22,5,254,254,254
23,5,254,254,254
24,5,254,254,254
25,5,254,254,254
26,5,1,1,1
27,5,1,1,1
28,5,254,254,254
29,5,254,254,254
30,5,254,254,254
31,5,254,254,254
0,6,254,254,254
1,6,254,254,254
2,6,254,254,254
3,6,254,254,254
4,6,1,1,1
5,6,1,1,1
6,6,254,254,254
7,6,254,254,254
8,6,254,254,254
9,6,254,254,254
10,6,1,1,1
11,6,1,1,1
12,6,1,1,1
13,6,1,1,1
14,6,1,1,1
15,6,1,1,1
16,6,254,254,254
17,6,254,254,254
18,6,254,254,254
19,6,254,254,254
20,6,254,254,254
21,6,254,254,254
22,6,254,254,254
23,6,254,254,254
24,6,254,254,254
25,6,254,254,254
26,6,254,254,254
27,6,254,254,254
28,6,1,1,1
29,6,1,1,1
30,6,254,254,254
31,6,254,254,254
0,7,254,254,254
1,7,254,254,254
2,7,254,254,254
3,7,254,254,254
4,7,1,1,1
5,7,1,1,1
6,7,254,254,254
7,7,254,254,254
8,7,254,254,254
9,7,254,254,254
10,7,1,1,1
11,7,1,1,1
12,7,1,1,1
13,7,1,1,1
14,7,1,1,1
15,7,1,1,1
16,7,254,254,254
17,7,254,254,254
18,7,254,254,254
19,7,254,254,254
20,7,254,254,254
21,7,254,254,254
22,7,254,254,254
23,7,254,254,254
24,7,254,254,254
25,7,254,254,254
26,7,254,254,254
27,7,254,254,254
28,7,1,1,1
29,7,1,1,1
30,7,254,254,254
31,7,254,254,254
0,8,254,254,254
1,8,254,254,254
2,8,1,1,1
3,8,1,1,1
4,8,254,254,254
5,8,254,254,254
6,8,254,254,254
7,8,254,254,254
8,8,254,254,254
9,8,254,254,254
10,8,1,1,1
11,8,1,1,1
12,8,254,254,254
13,8,254,254,254
14,8,254,254,254
15,8,254,254,254
16,8,1,1,1
17,8,1,1,1
18,8,254,254,254
19,8,254,254,254
20,8,254,254,254
21,8,254,254,254
22,8,254,254,254
23,8,254,254,254
24,8,254,254,254
25,8,254,254,254
26,8,254,254,254
27,8,254,254,254
28,8,1,1,1
29,8,1,1,1
30,8,254,254,254
31,8,254,254,254
0,9,254,254,254
1,9,254,254,254
2,9,1,1,1
3,9,1,1,1
4,9,254,254,254
5,9,254,254,254
6,9,254,254,254
7,9,254,254,254
8,9,254,254,254
9,9,254,254,254
10,9,1,1,1
11,9,1,1,1
12,9,254,254,254
13,9,254,254,254
14,9,254,254,254
15,9,254,254,254
16,9,1,1,1
17,9,1,1,1
18,9,254,254,254
19,9,254,254,254
20,9,254,254,254
21,9,254,254,254
22,9,254,254,254
23,9,254,254,254
24,9,254,254,254
25,9,254,254,254
26,9,254,254,254
27,9,254,254,254
28,9,1,1,1
29,9,1,1,1
30,9,254,254,254
31,9,254,254,254
0,10,254,254,254
1,10,254,254,254
2,10,1,1,1
3,10,1,1,1
4,10,254,254,254
5,10,254,254,254
6,10,254,254,254
7,10,254,254,254
8,10,254,254,254
9,10,254,254,254
10,10,1,1,1
11,10,1,1,1
12,10,254,254,254
13,10,254,254,254
14,10,254,254,254
15,10,254,254,254
16,10,254,254,254
17,10,254,254,254
18,10,254,254,254
19,10,254,254,254
20,10,254,254,254
21,10,254,254,254
22,10,254,254,254
23,10,254,254,254
24,10,254,254,254
25,10,254,254,254
26,10,254,254,254
27,10,254,254,254
28,10,254,254,254
29,10,254,254,254
30,10,1,1,1
31,10,1,1,1
0,11,254,254,254
1,11,254,254,254
2,11,1,1,1
3,11,1,1,1
4,11,254,254,254
5,11,254,254,254
6,11,254,254,254
7,11,254,254,254
8,11,254,254,254
9,11,254,254,254
10,11,1,1,1
11,11,1,1,1
12,11,254,254,254
13,11,254,254,254
14,11,254,254,254
15,11,254,254,254
16,11,254,254,254
17,11,254,254,254
18,11,254,254,254
19,11,254,254,254
20,11,254,254,254
21,11,254,254,254
22,11,254,254,254
23,11,254,254,254
24,11,254,254,254
25,11,254,254,254
26,11,254,254,254
27,11,254,254,254
28,11,254,254,254
29,11,254,254,254
30,11,1,1,1
31,11,1,1,1
0,12,1,1,1
1,12,1,1,1
2,12,254,254,254
3,12,254,254,254
4,12,254,254,254
5,12,254,254,254
6,12,254,254,254
7,12,254,254,254
8,12,254,254,254
9,12,254,254,254
10,12,254,254,254
11,12,254,254,254
12,12,1,1,1
13,12,1,1,1
14,12,254,254,254
15,12,254,254,254
16,12,254,254,254
17,12,254,254,254
18,12,254,254,254
19,12,254,254,254
20,12,254,254,254
21,12,254,254,254
22,12,254,254,254
23,12,254,254,254
24,12,254,254,254
25,12,254,254,254
26,12,254,254,254
27,12,254,254,254
28,12,254,254,254
29,12,254,254,254
30,12,1,1,1
31,12,1,1,1
0,13,1,1,1
1,13,1,1,1
2,13,254,254,254
3,13,254,254,254
4,13,254,254,254
5,13,254,254,254
6,13,254,254,254
7,13,254,254,254
8,13,254,254,254
9,13,254,254,254
10,13,254,254,254
11,13,254,254,254
12,13,1,1,1
13,13,1,1,1
14,13,254,254,254
15,13,254,254,254
16,13,254,254,254
17,13,254,254,254
18,13,254,254,254
19,13,254,254,254
20,13,254,254,254
21,13,254,254,254
22,13,254,254,254
23,13,254,254,254
24,13,254,254,254
25,13,254,254,254
26,13,254,254,254
27,13,254,254,254
28,13,254,254,254
29,13,254,254,254
30,13,1,1,1
31,13,1,1,1
0,14,1,1,1
1,14,1,1,1
2,14,254,254,254
3,14,254,254,254
4,14,254,254,254
5,14,254,254,254
6,14,254,254,254
7,14,254,254,254
8,14,254,254,254
9,14,254,254,254
10,14,254,254,254
11,14,254,254,254
12,14,254,254,254
13,14,254,254,254
14,14,254,254,254
15,14,254,254,254
16,14,254,254,254
17,14,254,254,254
18,14,254,254,254
19,14,254,254,254
20,14,254,254,254
21,14,254,254,254
22,14,254,254,254
23,14,254,254,254
24,14,254,254,254
25,14,254,254,254
26,14,254,254,254
27,14,254,254,254
28,14,254,254,254
29,14,254,254,254
30,14,1,1,1
31,14,1,1,1
0,15,1,1,1
1,15,1,1,1
2,15,254,254,254
3,15,254,254,254
4,15,254,254,254
5,15,254,254,254
6,15,254,254,254
7,15,254,254,254
8,15,254,254,254
9,15,254,254,254
10,15,254,254,254
11,15,254,254,254
12,15,254,254,254
13,15,254,254,254
14,15,254,254,254
15,15,254,254,254
16,15,254,254,254
17,15,254,254,254
18,15,254,254,254
19,15,254,254,254
20,15,254,254,254
21,15,254,254,254
22,15,254,254,254
23,15,254,254,254
24,15,254,254,254
25,15,254,254,254
26,15,254,254,254
27,15,254,254,254
28,15,254,254,254
29,15,254,254,254
30,15,1,1,1
31,15,1,1,1
0,16,1,1,1
1,16,1,1,1
2,16,254,254,254
3,16,254,254,254
4,16,254,254,254
5,16,254,254,254
6,16,254,254,254
7,16,254,254,254
8,16,254,254,254
9,16,254,254,254
10,16,254,254,254
11,16,254,254,254
12,16,254,254,254
13,16,254,254,254
14,16,254,254,254
15,16,254,254,254
16,16,254,254,254
17,16,254,254,254
18,16,254,254,254
19,16,254,254,254
20,16,254,254,254
21,16,254,254,254
22,16,237,44,44
23,16,237,44,44
24,16,237,44,44
25,16,237,44,44
26,16,254,254,254
27,16,254,254,254
28,16,254,254,254
29,16,254,254,254
30,16,1,1,1
31,16,1,1,1
0,17,1,1,1
1,17,1,1,1
2,17,254,254,254
3,17,254,254,254
4,17,254,254,254
5,17,254,254,254
6,17,254,254,254
7,17,254,254,254
8,17,254,254,254
9,17,254,254,254
10,17,254,254,254
11,17,254,254,254
12,17,254,254,254
13,17,254,254,254
14,17,254,254,254
15,17,254,254,254
16,17,254,254,254
17,17,254,254,254
18,17,254,254,254
19,17,254,254,254
20,17,254,254,254
21,17,254,254,254
22,17,237,44,44
23,17,237,44,44
24,17,237,44,44
25,17,237,44,44
26,17,254,254,254
27,17,254,254,254
28,17,254,254,254
29,17,254,254,254
30,17,1,1,1
31,17,1,1,1
0,18,1,1,1
1,18,1,1,1
2,18,254,254,254
3,18,254,254,254
4,18,254,254,254
5,18,254,254,254
6,18,254,254,254
7,18,254,254,254
8,18,254,254,254
9,18,254,254,254
10,18,254,254,254
11,18,254,254,254
12,18,254,254,254
13,18,254,254,254
14,18,254,254,254
15,18,254,254,254
16,18,237,44,44
17,18,237,44,44
18,18,237,44,44
19,18,237,44,44
20,18,237,44,44
21,18,237,44,44
22,18,237,44,44
23,18,237,44,44
24,18,254,254,254
25,18,254,254,254
26,18,254,254,254
27,18,254,254,254
28,18,254,254,254
29,18,254,254,254
30,18,1,1,1
31,18,1,1,1
0,19,1,1,1
1,19,1,1,1
2,19,254,254,254
3,19,254,254,254
4,19,254,254,254
5,19,254,254,254
6,19,254,254,254
7,19,254,254,254
8,19,254,254,254
9,19,254,254,254
10,19,254,254,254
11,19,254,254,254
12,19,254,254,254
13,19,254,254,254
14,19,254,254,254
15,19,254,254,254
16,19,237,44,44
17,19,237,44,44
18,19,237,44,44
19,19,237,44,44
20,19,237,44,44
21,19,237,44,44
22,19,237,44,44
23,19,237,44,44
24,19,254,254,254
25,19,254,254,254
26,19,254,254,254
27,19,254,254,254
28,19,254,254,254
29,19,254,254,254
30,19,1,1,1
31,19,1,1,1
0,20,1,1,1
1,20,1,1,1
2,20,254,254,254
3,20,254,254,254
4,20,254,254,254
5,20,254,254,254
6,20,254,254,254
7,20,254,254,254
8,20,1,1,1
9,20,1,1,1
10,20,1,1,1
11,20,1,1,1
12,20,1,1,1
13,20,1,1,1
14,20,254,254,254
15,20,254,254,254
16,20,254,254,254
17,20,254,254,254
18,20,237,44,44
19,20,237,44,44
20,20,237,44,44
21,20,237,44,44
22,20,237,44,44
23,20,237,44,44
24,20,237,44,44
25,20,237,44,44
26,20,254,254,254
27,20,254,254,254
28,20,254,254,254
29,20,254,254,254
30,20,1,1,1
31,20,1,1,1
0,21,1,1,1
1,21,1,1,1
2,21,254,254,254
3,21,254,254,254
4,21,254,254,254
5,21,254,254,254
6,21,254,254,254
7,21,254,254,254
8,21,1,1,1
9,21,1,1,1
10,21,1,1,1
11,21,1,1,1
12,21,1,1,1
13,21,1,1,1
14,21,254,254,254
15,21,254,254,254
16,21,254,254,254
17,21,254,254,254
18,21,237,44,44
19,21,237,44,44
20,21,237,44,44
21,21,237,44,44
22,21,237,44,44
23,21,237,44,44
24,21,237,44,44
25,21,237,44,44
26,21,254,254,254
27,21,254,254,254
28,21,254,254,254
29,21,254,254,254
30,21,1,1,1
31,21,1,1,1
0,22,254,254,254
1,22,254,254,254
2,22,1,1,1
3,22,1,1,1
4,22,254,254,254
5,22,254,254,254
6,22,254,254,254
7,22,254,254,254
8,22,254,254,254
9,22,254,254,254
10,22,254,254,254
11,22,254,254,254
12,22,254,254,254
13,22,254,254,254
14,22,254,254,254
15,22,254,254,254
16,22,237,44,44
17,22,237,44,44
18,22,237,44,44
19,22,237,44,44
20,22,237,44,44
21,22,237,44,44
22,22,237,44,44
23,22,237,44,44
24,22,254,254,254
25,22,254,254,254
26,22,254,254,254
27,22,254,254,254
28,22,1,1,1
29,22,1,1,1
30,22,254,254,254
31,22,254,254,254
0,23,254,254,254
1,23,254,254,254
2,23,1,1,1
3,23,1,1,1
4,23,254,254,254
5,23,254,254,254
6,23,254,254,254
7,23,254,254,254
8,23,254,254,254
9,23,254,254,254
10,23,254,254,254
11,23,254,254,254
12,23,254,254,254
13,23,254,254,254
14,23,254,254,254
15,23,254,254,254
16,23,237,44,44
17,23,237,44,44
18,23,237,44,44
19,23,237,44,44
20,23,237,44,44
21,23,237,44,44
22,23,237,44,44
23,23,237,44,44
24,23,254,254,254
25,23,254,254,254
26,23,254,254,254
27,23,254,254,254
28,23,1,1,1
29,23,1,1,1
30,23,254,254,254
31,23,254,254,254
0,24,254,254,254
1,24,254,254,254
2,24,1,1,1
3,24,1,1,1
4,24,254,254,254
5,24,254,254,254
6,24,254,254,254
7,24,254,254,254
8,24,1,1,1
9,24,1,1,1
10,24,1,1,1
11,24,1,1,1
12,24,1,1,1
13,24,1,1,1
14,24,254,254,254
15,24,254,254,254
16,24,254,254,254
17,24,254,254,254
18,24,237,44,44
19,24,237,44,44
20,24,237,44,44
21,24,237,44,44
22,24,237,44,44
23,24,237,44,44
24,24,237,44,44
25,24,237,44,44
26,24,254,254,254
27,24,254,254,254
28,24,1,1,1
29,24,1,1,1
30,24,254,254,254
31,24,254,254,254
0,25,254,254,254
